order_id,customer_id,order_date,status
1,378,2025-03-27 20:42:50,completed
2,764,2025-07-20 10:32:50,completed
3,278,2025-04-20 21:34:50,completed
4,198,2025-02-17 02:51:50,completed
5,197,2025-07-23 21:16:50,completed
6,604,2025-06-26 07:51:50,shipped
7,103,2025-07-17 18:23:50,cancelled
8,184,2025-03-22 06:28:50,completed
9,281,2025-10-19 16:13:50,completed
10,715,2024-11-18 16:23:50,pending
11,894,2025-09-13 14:11:50,completed
12,452,2025-03-16 14:35:50,completed
13,490,2024-11-17 08:00:50,completed
14,76,2024-11-24 11:36:50,completed
15,153,2025-10-08 00:14:50,cancelled
16,122,2025-03-26 01:20:50,completed
17,810,2025-05-23 18:43:50,completed
18,931,2025-07-16 11:33:50,completed
19,583,2025-08-19 12:24:50,completed
20,971,2025-08-30 22:11:50,completed
21,677,2025-09-07 05:21:50,completed
22,77,2025-02-21 04:40:50,completed
23,609,2025-05-19 13:49:50,completed
24,724,2024-11-07 06:23:50,completed
25,240,2025-06-11 01:48:50,pending
26,824,2025-09-07 17:47:50,pending
27,231,2025-05-27 02:39:50,completed
28,62,2025-03-07 03:09:50,completed
29,845,2025-03-28 18:52:50,completed
30,480,2025-03-18 13:12:50,completed
31,513,2025-10-15 11:22:50,completed
32,41,2025-06-03 01:43:50,cancelled
33,27,2025-04-05 18:21:50,completed
34,974,2025-10-02 17:42:50,completed
35,42,2025-10-01 07:41:50,completed
36,668,2025-01-19 14:38:50,completed
37,447,2025-03-13 04:42:50,completed
38,357,2025-06-30 01:35:50,completed
39,879,2025-04-04 20:11:50,completed
40,296,2025-05-20 21:36:50,completed
41,466,2025-05-15 16:07:50,completed
42,994,2025-02-28 09:12:50,completed
43,891,2025-07-11 23:47:50,completed
44,531,2025-05-21 00:17:50,completed
45,779,2025-07-04 19:33:50,completed
46,950,2025-03-07 16:13:50,completed
47,30,2025-10-14 14:12:50,shipped
48,163,2025-08-29 06:50:50,completed
49,96,2024-10-29 16:31:50,completed
50,664,2024-12-19 13:12:50,cancelled
51,522,2025-07-04 21:23:50,completed
52,250,2025-05-22 14:35:50,completed
53,944,2025-01-04 11:17:50,completed
54,792,2024-12-30 01:22:50,completed
55,807,2025-05-22 10:04:50,completed
56,306,2024-10-23 08:51:50,cancelled
57,887,2025-08-14 20:36:50,completed
58,341,2025-07-24 14:27:50,completed
59,956,2025-07-27 11:34:50,completed
60,586,2025-01-26 21:20:50,completed
61,763,2025-05-20 00:25:50,completed
62,812,2025-05-05 11:47:50,cancelled
63,130,2025-01-07 14:07:50,completed
64,103,2025-08-20 10:00:50,cancelled
65,933,2025-06-04 02:38:50,completed
66,671,2025-01-03 13:00:50,shipped
67,993,2024-11-29 14:55:50,completed
68,666,2025-09-06 21:30:50,completed
69,547,2025-04-08 20:59:50,completed
70,909,2025-04-02 19:50:50,completed
71,71,2025-07-26 00:44:50,completed
72,765,2025-10-07 08:19:50,completed
73,894,2024-12-11 19:50:50,completed
74,926,2025-01-15 21:24:50,completed
75,368,2025-04-06 00:23:50,completed
76,422,2025-01-04 06:38:50,completed
77,81,2025-01-22 04:16:50,completed
78,247,2025-05-05 18:48:50,completed
79,473,2025-08-16 03:19:50,completed
80,10,2025-06-14 07:47:50,cancelled
81,560,2025-06-17 08:48:50,completed
82,307,2025-06-05 10:42:50,completed
83,468,2025-05-27 21:21:50,cancelled
84,495,2025-01-31 11:59:50,completed
85,589,2025-05-05 17:27:50,completed
86,850,2025-10-15 08:06:50,completed
87,886,2025-03-10 23:41:50,completed
88,509,2024-11-16 18:52:50,cancelled
89,822,2025-03-17 06:43:50,completed
90,257,2025-09-12 05:44:50,completed
91,141,2025-09-24 20:58:50,completed
92,317,2025-09-08 19:07:50,completed
93,750,2024-11-08 17:28:50,completed
94,426,2025-03-22 09:52:50,completed
95,995,2024-12-28 17:01:50,completed
96,169,2025-07-05 07:58:50,completed
97,892,2025-06-25 08:52:50,completed
98,145,2024-12-19 13:09:50,completed
99,691,2025-02-14 20:51:50,shipped
100,810,2025-08-03 10:10:50,completed
101,466,2025-03-06 16:12:50,completed
102,391,2025-10-01 07:42:50,cancelled
103,240,2025-04-30 02:48:50,completed
104,938,2025-09-04 16:25:50,completed
105,844,2025-09-18 01:45:50,completed
106,419,2025-10-15 08:46:50,completed
107,505,2024-11-14 00:24:50,completed
108,398,2025-02-19 16:13:50,completed
109,969,2025-09-30 22:49:50,completed
110,159,2025-08-18 22:51:50,cancelled
111,502,2025-09-22 02:58:50,completed
112,380,2025-03-14 00:49:50,completed
113,372,2025-06-06 06:59:50,completed
114,924,2025-10-08 10:39:50,shipped
115,283,2025-04-23 00:30:50,completed
116,679,2024-12-23 13:10:50,completed
117,52,2025-09-14 18:06:50,completed
118,579,2025-02-23 03:55:50,completed
119,222,2025-08-01 05:42:50,cancelled
120,152,2025-02-18 09:54:50,completed
121,880,2025-08-22 23:22:50,shipped
122,818,2024-12-27 16:21:50,completed
123,16,2025-09-24 23:13:50,completed
124,17,2025-02-20 17:25:50,completed
125,432,2024-11-17 03:52:50,completed
126,797,2024-11-23 14:33:50,completed
127,516,2025-08-21 02:33:50,completed
128,803,2025-09-01 00:51:50,pending
129,470,2025-09-24 15:24:50,completed
130,868,2024-11-06 00:35:50,completed
131,730,2025-10-08 02:36:50,pending
132,623,2024-11-28 01:25:50,completed
133,649,2024-12-25 07:44:50,completed
134,612,2025-10-21 09:29:50,completed
135,441,2025-06-11 15:43:50,completed
136,671,2025-10-16 02:59:50,completed
